Wallet Address,Action,Transaction Hash
GC6ORDIYLSICV5YMDV3KMFXUMRZCEXZ3TUEB3TXC4TBKRRD2EBMP4XON,Donate 36 XLM,6ddfeb9fe7a9041bb6466f962ecb11eb1ccb18ba7f48781f2260a8609622f60a
GAXZOVCFXTPAZSKFG5MTNITMO5QZ4HYFOF4Y6DLXJFYYC5TXSXQ5DEXJ,Donate 20 XLM,c4728e002d03206042b765bdc27320d0a8f5dc2c1ff5781c639ffdfc8cab3a2b
GCXTLDSQT6TBAGHQJL262C3LJ3D5I44QLCDK7QLTYZFAHAUET2KSQUMP,Donate 19 XLM,f5095471b936a54b3fe452df8587e7944abeb72e7e90e983715d5955fc267065
GAKY3BODJOT624DGB3LGFIYCI4JDIXI725S5MOW7WGP4VLAPJPGFNRZO,Donate 26 XLM,5553b866ebddd5e3b60fe16e3e45c953c5fa5cb144a568276d8206a530074773
GBGCLCI2Q62TUDALIEH46EE4VHBMDABHULP2CZWHBL2XKWA644XOEPAX,Donate 27 XLM,3f3a6726908a8707d9743e4b74cd4499b92e661d1bca39be2adf3f0cb5c2b182
GB4SIN3WG52YC2Q6CBF7CJB4GE5ZLZB7EKCPYQXARB2JZ5OJ3XZSZCPE,Donate 16 XLM,82beae76854fba022143551c23fac8214f9a10d8680ff299171dc8af4b0745ef
GBLRPI5EABIWGWRKZXSUQCIZZLBD6HELN4GTBUBD7VSM5Q3E2BRDBLUF,Donate 27 XLM,863e0461618ad22fd76212b839785a4e682835ee403b1dd28fc0d6a88703b8ad
GBIGS5ARWZDPCCSEIDVZCVZHYRD2PEJXVNNIKOWDAYOSBZ6JHDJLMYSE,Donate 35 XLM,8d85459968ff7c695cc1ba9ff2561b2a4e2ac4e3523a35b7c6024c4de6cee70e
GAABAMFRDAQ6I3P5NA2YQBLMQXDHXWIMBXGVJJ7CL5UPNTHY3DSE7Y4L,Donate 13 XLM,e1dbf936518beb67b9ac4510a7d83397e466a4f099d42548dafb60d8471dc56b
GBASGIHKXN7QQEOJ3GOWDBEADTWBRE727L4TOW7V2KHUFFM7VV4P5465,Donate 23 XLM,31eadc4f4c35215ed6833a2114a2283180bfa0b565ad877cab690af67ef0e591
GDKYQWOPBORJIT6GC6C2HBQ5CZ3MZP6Z4Q5RTW23LZ2XXZIZTLN4NGYC,Donate 25 XLM,05138c2f10d29390a551c30aa97639d17a2a767cdb89d83b0f8c11521cf04d40
GBHSYPOZYSYJUZHXYPH3URWBLU62MGRW6SEB4GEDUDTIF5VGKTT7WDG4,Donate 42 XLM,ad45f63230012bbbdabbe47ae22782cd38279a912add935c9013ef5d2cf18646
GAD4NL7DJRA43NKPMWJ5GCAWQLWQVV6ZWHJWZDDT6WWHHNRVL6USGLS4,Donate 37 XLM,c36dbdca7fe18680b457fb0c9549be01693a99962108fc39b6a6db861f9229ea
